XEP,Description,Status,ejabberd,iChat Server,jabberd14,jabberd2,Metronome,Isode M-Link,MongooseIM,Openfire,Prosody,Tigase
0158,CAPTCHA Forms,[null],<ref name="ejabberd-protocols" />,[null],[null],<ref name="jabberd2-features" />,<ref name="metronome-features" />,[null],[null],[null],<ref name="prosody-thorough" />,[null]
0159,Spim-Blocking Control,[null],[null],[null],[null],<ref name="jabberd2-features" />,<ref name="metronome-features" />,[null],[null],[null],<ref name="prosody-thorough" />,[null]
0160,Best Practices for Handling Offline Messages,[null],<ref name="ejabberd-protocols" />,[null],<ref name="jabberd14-features" />,<ref name="jabberd2-features" />,<ref name="metronome-features" />,[null],[null],[null],<ref name="prosody-thorough" />,<ref name="tigase-features" />
0161,Abuse Reporting,[null],[null],[null],[null],<ref name="jabberd2-features" />,<ref name="metronome-features" />,[null],[null],[null],<ref name="prosody-thorough" />,[null]
0163,Personal Eventing Protocol,[null],<ref name="ejabberd-protocols" />,[null],[null],<ref name="jabberd2-features" />,<ref name="metronome-features" />,<ref name="M-Link-features" />,[null],<ref name="openfire-features" />,<ref name="prosody-thorough" />,<ref name="tigase-features" />
0168,Resource Application Priority,[null],[null],[null],[null],<ref name="jabberd2-features" />,<ref name="metronome-features" />,[null],[null],[null],<ref name="prosody-thorough" />,[null]
0170,Recommended Order of Stream Feature Negotiation,[null],<ref name="ejabberd-protocols" /><ref></ref>,<ref name="ejabberd-protocols" />,<ref name="jabberd14-features" />,<ref name="jabberd2-features" />,<ref name="metronome-features" />,[null],[null],[null],<ref name="prosody-thorough" />,<ref name="tigase-features" />
0171,Language Translation,[null],[null],[null],[null],<ref name="jabberd2-features" />,<ref name="metronome-features" />,[null],[null],[null],<ref name="prosody-thorough" />,[null]
0172,User Nickname,[null],<ref name="ejabberd-protocols" />,[null],[null],<ref name="jabberd2-features" />,<ref name="metronome-features" />,[null],[null],[null],<ref name="prosody-thorough" />,<ref name="tigase-features" />
0175,Best Practices for Use of SASL ANONYMOUS,[null],<ref name="ejabberd-protocols" />,[null],[null],<ref name="jabberd2-features" />,<ref name="metronome-features" />,[null],[null],<ref name="openfire-features" />,<ref name="prosody-thorough" />,<ref name="tigase-features" />
