Vehicle,Origin,Manufacturer,Mass to ... (kg),Launches,Date of flight
Delta II 7425,[null],Boeing IDS,[null],<ref name="GSP-Delta"/>,to HCO
Delta II 7426,[null],Boeing IDS,[null],<ref name="GSP-Delta"/>,to TLI 711 to HCO
Delta II 7920,[null],Boeing IDS / ULA,<ref name="GSP-Delta"/>,[null],to SSO
Delta II 7925,[null],Boeing IDS / ULA,[null],<ref name="GSP-Delta"/>,to TLI 1.265 to HCO
Delta II-H 7920H,[null],Boeing IDS / ULA,<ref name="GSP-Delta"/>,[null],[null]
Delta II-H 7925H,[null],Boeing IDS / ULA,[null],[null],to HCO<ref name="GSP-Delta"/>
Delta III 8930,[null],Boeing IDS,<ref name="GSP-Delta"/>,[null],[null]
Delta IV M,[null],Boeing IDS,<ref name=d4ppg/>,[null],to polar
Delta IV M+(4.2),[null],ULA,<ref name=d4ppg/>,[null],to polar
Delta IV M+(5.2),[null],ULA,<ref name=d4ppg/>,[null],to polar
Delta IV M+(5.4),[null],ULA,<ref name=d4ppg/>,[null],to polar
Diamant,[null],SEREB,<ref></ref><ref>Space Skyrocket  Diamant  retrieved 19 December 2015</ref>,[null],[null]
Dnepr,[null],Yuzhmash,<ref name="GSP-Dnepr"></ref>,[null],[null]
Energia,[null],NPO Energia,<ref name="Energia"/>,[null],to GEO<ref name="Energia"/> 32.000 to TLI<ref name="Energia"/>
